"","DATE","CAMERA.ID","ADDRESS","VIOLATIONS","LATITUDE","LONGITUDE","LOCATION","date","count"
"22669","02/24/2015","CHI045","445 W 127TH",120,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-02-24,1
"22766","02/25/2015","CHI003","4124 W FOSTER AVE",49,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-02-25,1
"22768","02/25/2015","CHI005","2080 W PERSHING",12,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-02-25,1
"22770","02/25/2015","CHI008","3655 W JACKSON",7,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-02-25,1
"22773","02/25/2015","CHI013","5330 S COTTAGE GROVE",14,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-02-25,1
"22777","02/25/2015","CHI019","2917 W ROOSEVELT",23,41.866364,-87.699143,"(41.866364, -87.699143)",2015-02-25,1
"22800","02/25/2015","CHI045","445 W 127TH",27,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-02-25,1
"22896","02/26/2015","CHI003","4124 W FOSTER AVE",42,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-02-26,1
"22898","02/26/2015","CHI005","2080 W PERSHING",4,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-02-26,1
"22900","02/26/2015","CHI008","3655 W JACKSON",10,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-02-26,1
"22903","02/26/2015","CHI013","5330 S COTTAGE GROVE",9,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-02-26,1
"22907","02/26/2015","CHI019","2917 W ROOSEVELT",13,41.866364,-87.699143,"(41.866364, -87.699143)",2015-02-26,1
"22929","02/26/2015","CHI045","445 W 127TH",75,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-02-26,1
"23021","02/27/2015","CHI003","4124 W FOSTER AVE",82,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-02-27,1
"23023","02/27/2015","CHI005","2080 W PERSHING",18,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-02-27,1
"23025","02/27/2015","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-02-27,1
"23028","02/27/2015","CHI013","5330 S COTTAGE GROVE",16,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-02-27,1
"23032","02/27/2015","CHI019","2917 W ROOSEVELT",34,41.866364,-87.699143,"(41.866364, -87.699143)",2015-02-27,1
"23054","02/27/2015","CHI045","445 W 127TH",149,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-02-27,1
"23153","02/28/2015","CHI003","4124 W FOSTER AVE",95,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-02-28,1
"23155","02/28/2015","CHI005","2080 W PERSHING",13,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-02-28,1
"23157","02/28/2015","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-02-28,1
"23160","02/28/2015","CHI013","5330 S COTTAGE GROVE",25,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-02-28,1
"23164","02/28/2015","CHI019","2917 W ROOSEVELT",29,41.866364,-87.699143,"(41.866364, -87.699143)",2015-02-28,1
"23174","02/28/2015","CHI045","445 W 127TH",203,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-02-28,1
"23225","03/01/2015","CHI003","4124 W FOSTER AVE",138,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-01,1
"23227","03/01/2015","CHI005","2080 W PERSHING",10,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-01,1
"23229","03/01/2015","CHI008","3655 W JACKSON",20,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-01,1
"23232","03/01/2015","CHI013","5330 S COTTAGE GROVE",23,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-01,1
"23236","03/01/2015","CHI019","2917 W ROOSEVELT",10,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-01,1
"23246","03/01/2015","CHI045","445 W 127TH",165,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-01,1
"23296","03/02/2015","CHI003","4124 W FOSTER AVE",65,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-02,1
"23298","03/02/2015","CHI005","2080 W PERSHING",9,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-02,1
"23300","03/02/2015","CHI008","3655 W JACKSON",14,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-02,1
"23303","03/02/2015","CHI013","5330 S COTTAGE GROVE",21,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-02,1
"23307","03/02/2015","CHI019","2917 W ROOSEVELT",26,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-02,1
"23330","03/02/2015","CHI045","445 W 127TH",149,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-02,1
"23432","03/03/2015","CHI003","4124 W FOSTER AVE",45,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-03,1
"23434","03/03/2015","CHI005","2080 W PERSHING",12,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-03,1
"23436","03/03/2015","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-03,1
"23439","03/03/2015","CHI013","5330 S COTTAGE GROVE",11,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-03,1
"23443","03/03/2015","CHI019","2917 W ROOSEVELT",16,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-03,1
"23464","03/03/2015","CHI045","445 W 127TH",126,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-03,1
"23567","03/04/2015","CHI003","4124 W FOSTER AVE",67,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-04,1
"23569","03/04/2015","CHI005","2080 W PERSHING",11,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-04,1
"23571","03/04/2015","CHI008","3655 W JACKSON",14,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-04,1
"23574","03/04/2015","CHI013","5330 S COTTAGE GROVE",10,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-04,1
"23578","03/04/2015","CHI019","2917 W ROOSEVELT",32,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-04,1
"23601","03/04/2015","CHI045","445 W 127TH",148,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-04,1
"23702","03/05/2015","CHI003","4124 W FOSTER AVE",67,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-05,1
"23704","03/05/2015","CHI005","2080 W PERSHING",19,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-05,1
"23706","03/05/2015","CHI008","3655 W JACKSON",14,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-05,1
"23709","03/05/2015","CHI013","5330 S COTTAGE GROVE",24,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-05,1
"23713","03/05/2015","CHI019","2917 W ROOSEVELT",40,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-05,1
"23736","03/05/2015","CHI045","445 W 127TH",143,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-05,1
"23836","03/06/2015","CHI003","4124 W FOSTER AVE",68,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-06,1
"23838","03/06/2015","CHI005","2080 W PERSHING",21,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-06,1
"23840","03/06/2015","CHI008","3655 W JACKSON",23,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-06,1
"23844","03/06/2015","CHI013","5330 S COTTAGE GROVE",32,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-06,1
"23848","03/06/2015","CHI019","2917 W ROOSEVELT",37,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-06,1
"23870","03/06/2015","CHI045","445 W 127TH",170,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-06,1
"23972","03/07/2015","CHI003","4124 W FOSTER AVE",139,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-07,1
"23974","03/07/2015","CHI005","2080 W PERSHING",13,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-07,1
"23976","03/07/2015","CHI008","3655 W JACKSON",27,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-07,1
"23980","03/07/2015","CHI013","5330 S COTTAGE GROVE",47,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-07,1
"23984","03/07/2015","CHI019","2917 W ROOSEVELT",45,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-07,1
"23994","03/07/2015","CHI045","445 W 127TH",220,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-07,1
"24045","03/08/2015","CHI003","4124 W FOSTER AVE",116,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-08,1
"24047","03/08/2015","CHI005","2080 W PERSHING",17,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-08,1
"24049","03/08/2015","CHI008","3655 W JACKSON",28,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-08,1
"24053","03/08/2015","CHI013","5330 S COTTAGE GROVE",33,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-08,1
"24057","03/08/2015","CHI019","2917 W ROOSEVELT",35,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-08,1
"24067","03/08/2015","CHI045","445 W 127TH",146,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-08,1
"24117","03/09/2015","CHI003","4124 W FOSTER AVE",82,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-09,1
"24119","03/09/2015","CHI005","2080 W PERSHING",14,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-09,1
"24121","03/09/2015","CHI008","3655 W JACKSON",18,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-09,1
"24125","03/09/2015","CHI013","5330 S COTTAGE GROVE",27,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-09,1
"24129","03/09/2015","CHI019","2917 W ROOSEVELT",32,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-09,1
"24151","03/09/2015","CHI045","445 W 127TH",133,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-09,1
"24252","03/10/2015","CHI003","4124 W FOSTER AVE",78,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-10,1
"24254","03/10/2015","CHI005","2080 W PERSHING",11,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-10,1
"24256","03/10/2015","CHI008","3655 W JACKSON",16,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-10,1
"24260","03/10/2015","CHI013","5330 S COTTAGE GROVE",28,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-10,1
"24264","03/10/2015","CHI019","2917 W ROOSEVELT",33,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-10,1
"24286","03/10/2015","CHI045","445 W 127TH",144,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-10,1
"24390","03/11/2015","CHI003","4124 W FOSTER AVE",68,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-11,1
"24392","03/11/2015","CHI005","2080 W PERSHING",9,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-11,1
"24394","03/11/2015","CHI008","3655 W JACKSON",29,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-11,1
"24398","03/11/2015","CHI013","5330 S COTTAGE GROVE",32,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-11,1
"24402","03/11/2015","CHI019","2917 W ROOSEVELT",30,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-11,1
"24424","03/11/2015","CHI045","445 W 127TH",147,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-11,1
"24529","03/12/2015","CHI003","4124 W FOSTER AVE",94,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-12,1
"24531","03/12/2015","CHI005","2080 W PERSHING",11,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-12,1
"24533","03/12/2015","CHI008","3655 W JACKSON",25,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-12,1
"24537","03/12/2015","CHI013","5330 S COTTAGE GROVE",24,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-12,1
"24541","03/12/2015","CHI019","2917 W ROOSEVELT",39,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-12,1
"24564","03/12/2015","CHI045","445 W 127TH",137,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-12,1
"24669","03/13/2015","CHI003","4124 W FOSTER AVE",98,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-13,1
"24671","03/13/2015","CHI005","2080 W PERSHING",16,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-13,1
"24673","03/13/2015","CHI008","3655 W JACKSON",30,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-13,1
"24677","03/13/2015","CHI013","5330 S COTTAGE GROVE",37,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-13,1
"24681","03/13/2015","CHI019","2917 W ROOSEVELT",25,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-13,1
"24703","03/13/2015","CHI045","445 W 127TH",178,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-13,1
"24808","03/14/2015","CHI003","4124 W FOSTER AVE",136,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-14,1
"24810","03/14/2015","CHI005","2080 W PERSHING",18,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-14,1
"24812","03/14/2015","CHI008","3655 W JACKSON",42,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-14,1
"24816","03/14/2015","CHI013","5330 S COTTAGE GROVE",79,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-14,1
"24820","03/14/2015","CHI019","2917 W ROOSEVELT",31,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-14,1
"24830","03/14/2015","CHI045","445 W 127TH",218,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-14,1
"24880","03/15/2015","CHI003","4124 W FOSTER AVE",107,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-15,1
"24882","03/15/2015","CHI005","2080 W PERSHING",13,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-15,1
"24884","03/15/2015","CHI008","3655 W JACKSON",20,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-15,1
"24888","03/15/2015","CHI013","5330 S COTTAGE GROVE",62,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-15,1
"24892","03/15/2015","CHI019","2917 W ROOSEVELT",36,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-15,1
"24902","03/15/2015","CHI045","445 W 127TH",208,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-15,1
"24952","03/16/2015","CHI003","4124 W FOSTER AVE",93,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-16,1
"24954","03/16/2015","CHI005","2080 W PERSHING",23,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-16,1
"24956","03/16/2015","CHI008","3655 W JACKSON",20,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-16,1
"24960","03/16/2015","CHI013","5330 S COTTAGE GROVE",34,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-16,1
"24964","03/16/2015","CHI019","2917 W ROOSEVELT",15,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-16,1
"24987","03/16/2015","CHI045","445 W 127TH",4,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-16,1
"25092","03/17/2015","CHI003","4124 W FOSTER AVE",102,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-17,1
"25094","03/17/2015","CHI005","2080 W PERSHING",17,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-17,1
"25096","03/17/2015","CHI008","3655 W JACKSON",19,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-17,1
"25100","03/17/2015","CHI013","5330 S COTTAGE GROVE",38,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-17,1
"25104","03/17/2015","CHI019","2917 W ROOSEVELT",20,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-17,1
"25127","03/17/2015","CHI045","445 W 127TH",158,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-17,1
"25230","03/18/2015","CHI003","4124 W FOSTER AVE",95,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-18,1
"25232","03/18/2015","CHI005","2080 W PERSHING",23,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-18,1
"25234","03/18/2015","CHI008","3655 W JACKSON",23,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-18,1
"25238","03/18/2015","CHI013","5330 S COTTAGE GROVE",27,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-18,1
"25242","03/18/2015","CHI019","2917 W ROOSEVELT",29,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-18,1
"25265","03/18/2015","CHI045","445 W 127TH",158,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-18,1
"25370","03/19/2015","CHI003","4124 W FOSTER AVE",108,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-19,1
"25372","03/19/2015","CHI005","2080 W PERSHING",17,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-19,1
"25374","03/19/2015","CHI008","3655 W JACKSON",17,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-19,1
"25378","03/19/2015","CHI013","5330 S COTTAGE GROVE",27,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-19,1
"25382","03/19/2015","CHI019","2917 W ROOSEVELT",29,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-19,1
"25405","03/19/2015","CHI045","445 W 127TH",167,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-19,1
"25509","03/20/2015","CHI003","4124 W FOSTER AVE",107,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-20,1
"25511","03/20/2015","CHI005","2080 W PERSHING",20,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-20,1
"25513","03/20/2015","CHI008","3655 W JACKSON",32,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-20,1
"25517","03/20/2015","CHI013","5330 S COTTAGE GROVE",46,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-20,1
"25521","03/20/2015","CHI019","2917 W ROOSEVELT",14,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-20,1
"25544","03/20/2015","CHI045","445 W 127TH",201,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-20,1
"25643","03/21/2015","CHI003","4124 W FOSTER AVE",130,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-21,1
"25645","03/21/2015","CHI005","2080 W PERSHING",17,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-21,1
"25647","03/21/2015","CHI008","3655 W JACKSON",43,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-21,1
"25651","03/21/2015","CHI013","5330 S COTTAGE GROVE",58,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-21,1
"25655","03/21/2015","CHI019","2917 W ROOSEVELT",42,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-21,1
"25665","03/21/2015","CHI045","445 W 127TH",224,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-21,1
"25714","03/22/2015","CHI003","4124 W FOSTER AVE",138,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-22,1
"25716","03/22/2015","CHI005","2080 W PERSHING",20,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-22,1
"25718","03/22/2015","CHI008","3655 W JACKSON",14,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-22,1
"25722","03/22/2015","CHI013","5330 S COTTAGE GROVE",60,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-22,1
"25726","03/22/2015","CHI019","2917 W ROOSEVELT",30,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-22,1
"25736","03/22/2015","CHI045","445 W 127TH",205,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-22,1
"25786","03/23/2015","CHI003","4124 W FOSTER AVE",38,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-23,1
"25788","03/23/2015","CHI005","2080 W PERSHING",10,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-23,1
"25790","03/23/2015","CHI008","3655 W JACKSON",8,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-23,1
"25794","03/23/2015","CHI013","5330 S COTTAGE GROVE",28,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-23,1
"25798","03/23/2015","CHI019","2917 W ROOSEVELT",17,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-23,1
"25821","03/23/2015","CHI045","445 W 127TH",107,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-23,1
"25910","03/24/2015","CHI003","4124 W FOSTER AVE",97,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-24,1
"25912","03/24/2015","CHI005","2080 W PERSHING",18,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-24,1
"25914","03/24/2015","CHI008","3655 W JACKSON",39,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-24,1
"25918","03/24/2015","CHI013","5330 S COTTAGE GROVE",46,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-24,1
"25922","03/24/2015","CHI019","2917 W ROOSEVELT",23,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-24,1
"25945","03/24/2015","CHI045","445 W 127TH",193,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-24,1
"26048","03/25/2015","CHI003","4124 W FOSTER AVE",21,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-25,1
"26050","03/25/2015","CHI005","2080 W PERSHING",19,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-25,1
"26052","03/25/2015","CHI008","3655 W JACKSON",29,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-25,1
"26056","03/25/2015","CHI013","5330 S COTTAGE GROVE",35,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-25,1
"26060","03/25/2015","CHI019","2917 W ROOSEVELT",34,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-25,1
"26083","03/25/2015","CHI045","445 W 127TH",161,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-25,1
"26186","03/26/2015","CHI003","4124 W FOSTER AVE",78,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-26,1
"26188","03/26/2015","CHI005","2080 W PERSHING",18,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-26,1
"26190","03/26/2015","CHI008","3655 W JACKSON",25,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-26,1
"26194","03/26/2015","CHI013","5330 S COTTAGE GROVE",41,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-26,1
"26198","03/26/2015","CHI019","2917 W ROOSEVELT",32,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-26,1
"26221","03/26/2015","CHI045","445 W 127TH",157,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-26,1
"26326","03/27/2015","CHI003","4124 W FOSTER AVE",89,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-27,1
"26328","03/27/2015","CHI005","2080 W PERSHING",20,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-27,1
"26330","03/27/2015","CHI008","3655 W JACKSON",31,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-27,1
"26334","03/27/2015","CHI013","5330 S COTTAGE GROVE",48,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-27,1
"26338","03/27/2015","CHI019","2917 W ROOSEVELT",28,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-27,1
"26361","03/27/2015","CHI045","445 W 127TH",168,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-27,1
"26463","03/28/2015","CHI003","4124 W FOSTER AVE",157,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-28,1
"26465","03/28/2015","CHI005","2080 W PERSHING",14,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-28,1
"26467","03/28/2015","CHI008","3655 W JACKSON",39,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-28,1
"26471","03/28/2015","CHI013","5330 S COTTAGE GROVE",88,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-28,1
"26475","03/28/2015","CHI019","2917 W ROOSEVELT",28,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-28,1
"26485","03/28/2015","CHI045","445 W 127TH",246,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-28,1
"26533","03/29/2015","CHI003","4124 W FOSTER AVE",131,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-29,1
"26535","03/29/2015","CHI005","2080 W PERSHING",18,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-29,1
"26537","03/29/2015","CHI008","3655 W JACKSON",29,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-29,1
"26541","03/29/2015","CHI013","5330 S COTTAGE GROVE",50,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-29,1
"26545","03/29/2015","CHI019","2917 W ROOSEVELT",28,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-29,1
"26605","03/30/2015","CHI003","4124 W FOSTER AVE",79,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-30,1
"26607","03/30/2015","CHI005","2080 W PERSHING",13,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-30,1
"26609","03/30/2015","CHI008","3655 W JACKSON",29,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-30,1
"26613","03/30/2015","CHI013","5330 S COTTAGE GROVE",30,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-30,1
"26617","03/30/2015","CHI019","2917 W ROOSEVELT",30,41.866364,-87.699143,"(41.866364, -87.699143)",2015-03-30,1
"26640","03/30/2015","CHI045","445 W 127TH",125,41.6631741,-87.6335205,"(41.6631741, -87.6335205)",2015-03-30,1
"26747","03/31/2015","CHI003","4124 W FOSTER AVE",89,41.9756053,-87.7316698,"(41.9756053, -87.7316698)",2015-03-31,1
"26749","03/31/2015","CHI005","2080 W PERSHING",10,41.8231888,-87.6773488,"(41.8231888, -87.6773488)",2015-03-31,1
"26751","03/31/2015","CHI008","3655 W JACKSON",22,41.8770708,-87.7181683,"(41.8770708, -87.7181683)",2015-03-31,1
"26755","03/31/2015","CHI013","5330 S COTTAGE GROVE",19,41.7977039,-87.6064448,"(41.7977039, -87.6064448)",2015-03-31,1
